SMS Translation,SMS Language,Category,Subcategory
Tenant Yo CHINA Price Rs 2.75 CR In Gurgaon Lease X Years Rent Rs 1.27 Lac Monthly Call XXXXXXXXXX,en,Ads,other
Dear customer your PNB BANK A c will be close within XX hr 's Please complete your verification Please open this link rb.gy/crua29,en,Fraud,account alert
ENOUGH WITH bpkb MBL MTR YOU CAN ENJOY LOAN FACILITIES WITHDRAWAL UP TO XX INTEREST 0.9 BISA_TO TDK_CEK Bi HUB_DIAN XXXXXXXXXXXX,id,Ads,loan/gamble
"We have 25,000 transaction on your name Check here http //bit.ly/Transfer-Money",en,Fraud,financial
Your Netflix account will be lock because your payment be decline qv02g.com/,en,Fraud,account alert
"Dear coustmer you be the winner of PAYTM.COM online shopping company wine the prize TATASAFARI which cost be Rs 12,40,148.00 .The charge of you Registration service charge Rs XXXX rupes only This be valid Today know more for detail contact at Helpline no +91 XXXXXXXXXX",en,Fraud,prize
your account may be suspend Please complete verification step http // verify.suncorpbank.link,en,Fraud,account alert
Dear Customer we have receive a request re garding your Airtel num ber XXXXXXXXXX from a non registered email ID Please click here http // srkl.in/6000Blkobs to authenticate your ac count and help us process your request,en,Fraud,account alert
be wait at our distribution center Authorization be require to complete delivery sz5np30.site/Tejx,en,Fraud,delivery
Visit http //bit.ly/34QnQDV to validate your Luno Account on the XXXX TSL SSL Server and keep your Account Active to avoid Wallet de activation,en,Fraud,account alert
"Important Alert Dear Mahipal Singh Panwar the Incometax_Department require you to click the link below to submit a formal request for the payment of your unclaimed and overdue tax refund of 19,150INR http // 178.159.7.14/ITRef",en,Fraud,tax refund
Kindly send us your Zenith Bank account number to enable us review your complaint and assist appropriately Thank you,en,Fraud,financial
The ID associate with this number have be lock for security reason Please follow the link to unlock your account,en,Fraud,account alert
ING BELGIUM We have detect an attempt to log in to your online banking environment with IP address 122.34.566.98 This have be mark as unusual for us you must verify asap to prevent block via http //ebanking.ingbe.overzicht.site/,nl,Fraud,account alert
Your registration be successful If you do NOT request a block request your cancellation form here http // Cardstopinfo.contact reactivate,nl,Fraud,account alert
Banco Santander Your Banco Santander bank account have be block To activate your account you can access safely from http //t.co dfZWe1Ed1Y,es,Fraud,account alert
quot Bankia ES quot User disable for security reason www.bit.ly/ 2WQu1Y9 activate now t,es,Fraud,account alert
Dear Bank Customer Please Go to the office Your saving account be ERROR amp must be re-monitored Before go to the branch office Please call first Mr. EDY XXXXXXXXXXX,id,Fraud,account alert
Rabobank Your current debit card will expire before use Request the renew debit card for free now and prevent blockage via http // bit.do/Rabobank-NL42,nl,Fraud,credit/debit card
Ibercaja notice We inform you that our system have be update to access our update you must access the following link http //bit.ly/Ibercaja-Banco,es,Fraud,account alert
CHEAP BGT 20GB Special Data Package 300min +400 SMS for XX day IDR 85K Buy by reply DH5d to this SMS or at XXX XXX amp tsel.me/hotoffer CAN BUY up to 4x,id,Ads,promo
"CELEBRATE NYE XXXX DJ PARTY AT SHAUKEENS ALIGANJ EAT DRINK DANCE HURRY UP AND GRAB YOUR PASSES NOW TO AVAIL SPECIAL DISCOUNTS CALL 6390340012,6390340013",en,Ads,promo
Today 12:37 PM Hi Take off Skin Tags Moles Acne Scaring others Unsightly mark Results within X hour htt p //ynaatjerp.com/ojnZt98y stop stop,en,Ads,promo
Take the MRT Jakarta public Trial from XX to XX March XXXX Register at www.ayocobamrt.com,id,Ads,promo
DigiD You will receive a refund of € 778.69 euro Request your refund now via http //s.id/My-DigiD,nl,Fraud,financial
Biden announce he want up to XX of your retirement gain XXXX IRS Loophole may be your only way out http //link.goldco.com/loophole Reply STOP to opt out,en,Ads,politics/election
Please follow my new IG bit.ly.l rnovasik Thank you,id,Ads,other
Is XXXXXXXXXXXX your number If correct immediately check at XXX X XX Remember today be the deadline for the work list premium sm CS XXXXXXXXXXX Aug XX 09:58 via Indosat Ooredoo,id,Ads,other
"XXXX X XX SIM CARD You get Rp 175,000,000 Shopee Mart 7.7 PIN J7K2B59 For prize take info click bit.ly/shopee-promo33",id,Fraud,prize
RMO Personalize your caller ringtone with CRT Hits at only RM3 each renew at RM2 mth each To activate You Various Artists dial XXX XXXXXX this be how you fall in love Chelsea Cutler Jeremy Zucker dial XXX XXXXXX,en,Ads,promo
You make a purchase in our JB store in XXXX and enter our draw by do this You have win a gift beOq.me/ XX L5,en,Fraud,prize
Due to the new guideline of the RIVM and the WHO you must pay contactless from now on This be to prevent further spread of the coronavirus COVID-19 To make this possible you must immediately replace your payment card Your current one will expire from XX-XX-XXXX http //radobank.net/Wereldpas/,nl,Fraud,covid
"Dear Customer Con gratulations Snapdeal online shopping Pvt.Ltd Company You Have Win 1st Prize Tata nexon car Amount Price be Rs 7,50,000 You Can Take Your Prize Pay Service Charge Tax Rs 7,500 Deposit on XX-XX-XXXX Contact For Details Helpline no XXXXXXXXXX",en,Fraud,prize
REVOLUT Your authorisation code be XXX-XXX If this be not you please confirm your detail via www.online security.icu,en,Fraud,account alert
"FOREX SAHAM ONLINE 600rb GET 7jt 1jt GET 15jt 1,5jt GET 32jt 2jt GET 40jt 4jt GET 80jt 5jt GET 95jt 7jt GET 120jt u info lanjut www.tradingforex-saham.com",en,Ads,promo
Hi your product be good but lack of customer Want to find customer in X KM around your business location Just use LBA MyAds Come on advertise now on tsel.me/MyAds S1,id,Ads,promo
POSTNL Your package have reach our PostNL sorting center Follow the status of your shipment via http //bit.do/POSTNL PORTAAL,nl,Fraud,delivery
Santander We would like to confirm a transaction for 3480Gbp to B Q store Please call us on XXXXXXXXXXX Z,en,Fraud,financial
Your RABO debit card be outdated and will expire on Request the renew NFC XXXX debit card now for free via http //s.id rabobank NL Success New debit card within X to X work day at home by post,nl,Fraud,credit/debit card
FRM wellsfargo service MSG Your account have be lock for your protection To restore visit http //iebspoed.com,en,Fraud,account alert
Revolut authentication code XXX-XXX Never share it with anyone ever If you do NOT request this code please visit auth-support.co,en,Fraud,account alert
DHL Your parcel have arrive at our DHL sorting center Pay the import fee via http //yip.su/2rwEi5,nl,Fraud,delivery
Let XX s Succeed Sail Nias XXXX July September XXXX Community support can advance Indonesian tourism as a world tourist destination,id,Ads,other
Our security team have try to contact you regard your online account Login via the secure link http //103.39.110.224 secure to avoid account suspension,en,Fraud,account alert
Caixabank We regret to inform you that your account have be deactivate for your security we ask you to complete the following verification http //bit.ly/3edpo2N,es,Fraud,account alert
Congratulation you have become a winner in the 1st prize Tata safari storme by online shopping.this valid for one day.contact no -XXXXXXXXXX T C http // onlineluckydrawlists .com,en,Fraud,prize
Your delivery have be stop at our delivery centre ITEM SG2956671 Resolve the issue here u9g.me/,en,Fraud,delivery
Your NAB account have be lock for unusual activity Please log on to www.nabofficial.com and follow the unlock procedure,en,Fraud,account alert
TO Mr Mrs Year-end Promo Get XX Funds from Vehicle Prices Cashback Up to 5JT 0.7 BG NO BI CEK amp BS T.OVER With your BPKB as collateral HUB WA XXXXXXXXXXX SHEILA,id,Ads,loan/gamble
Dear Customer Your State Bank of India A C will be suspend Please re verify your KYC detail Click on link for KYC update http // 4db3a2433d0b.ngrok.io/sbibank,en,Fraud,account alert
Hello Your whatsapp account will expire to activate it you have to follow the link http //www.web-whatsapp.es/ id extension Greetings WhatsApp Team 19:31 • through SIM X,es,Fraud,account alert
"quot Last Info ... Your congratulation be official T-select Get Cash Rp 175,000,000 Dr PT.LAZADA Your win ID code be quot KBR99D7 quot U Info click www.undianlazada2020.gq",id,Fraud,prize
quot Santander ES quot User disable for security reason www.bit.ly/ 3b9MMJN activate now V,es,Fraud,account alert
Alerts amp BBVA- Due to an error in your IBBVA account For your last move it be necessary to activate your mobile alert in bbvamx24.in/Mx to do it,es,Fraud,account alert
LLOYDS A payment be attempt from a new device If this be not you please visit payee securesite.com,en,Fraud,account alert
quot Bankia ES quot User disable for security reason www.bit.ly/2w activate now and,es,Fraud,account alert
DHL Your parcel be arrive track here http //demo.mipunet.cn/a/ Irwlaoj8e066,en,Fraud,delivery
http // payment request.rabobank.nl/ payment request id s gygce Qe- hTa7tMorg,nl,Fraud,financial
ARGOS Congratulations you 've win the £ XXX gift Do n't miss out Your gift be valid until Sun 19th January http // bit.ly/ARGOS-3aii8hV,en,Fraud,prize
Look for credit agent data pulse token ALL gt OPERATOR V.5 gt XXXX V.10 gt XXXX V.20 gt XXXXX Interested type REGISTER NAME CITY NOHP SEND WA XXXXXXXXXXXX www.server-pulsa.online,id,Ads,promo
Royal Mail Your Package Has A £ 2.99 Shipping Fee To Pay This Now Please visit uk royal mail fees.com action will be take if you do not pay this fee,en,Fraud,delivery
We have try to deliver your LP995215701FR package but there be no postage Follow the instruction here http //bit.do/fLkeJ,fr,Fraud,delivery
Dear PYATM customer your Pyatm KYC have be suspended.Pyatm office PH XXXXXXXXXX Immediately.Your account will block within 24hr.Thank you pyatm team,en,Fraud,account alert
Need money .. Here be the solution Easy term safe reliable and trustworthy Interests Chat WA XXXXXXXXXXXX,id,Ads,loan/gamble
X-XXX MILLION LOANS BPKB MBL MTR BNGA FLAT YEAR CASH BACK XXX-X M OFFICIAL amp TRUSTED Cab SEINDONESIA,id,Ads,loan/gamble
+31621331297 06:40 ING On XX-XX-XXXX € 603.79 euro will be debit from your account Isn XX t this right Then check this direct debit order via s.id/ing-cancellation,nl,Fraud,financial
The New Association of Indonesian Muslimahs declare their support for pair number XX Jokowi Maoruf This couple be consider to have a vision to advance the community program X SMS 23:02,id,Ads,politics/election
If CC KTA make you a burden our office can help close in installment accord to your ability amp DISCOUNT in full XX XX interested in info PRINCESS WA XXXXXXXXXXXX,id,Ads,loan/gamble
Sorry to disturb We from KOPERASI offer loan for those of you who need business capital to serve loan of Rp X million XXX million U Info XXXXXXXXXXXX,id,Ads,loan/gamble
I XX m REZKY in BRUNAI look for someone who be trustworthy and I trust to hand over my finance 9.9 For the future in Indonesia if you want to help please call XXXXXXXXXXXX,id,Fraud,financial
FRM XXXXXXX SUBJ MSG Attention VISIT f09285.upd023.db.b4-13.us,en,Fraud,other
my name It 's your Congressman Jimmy Gomez check in to hear what issue be important to you Can you take a quick survey http //txt.hn/jpzR15 STOP2 stop,en,Fraud,other
PAYTM WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH XXXXXXXXXX,en,Fraud,account alert
Buy a new XC60 at CMH Volvo Cars PTA we will contribute R10 000pm to your 1st XX instalment Call XXXXXXXXXX T `` s C 's apply Opt out Reply No,en,Ads,promo
PayPal All service on your account have be limit due to unusual activity Visit http //user-terms-id25.com/ p=4 to lift the limitation Now to Personal a,en,Fraud,account alert
"Your number be officially select as the winner of Rp 175,000,000 from PT SHOPEE PIN 25f4777 info click on bit.ly/shopeeid125",id,Fraud,prize
We haven XX t be in contact for a long time how be you Look at the photo you can still recognize me right chat V.com/s/941863,id,Ads,other
sorry .. need an unsecured loan that can be submit online on easy amp fast term ceiling X million to XXX million tenor up to X year wa XXXXXXXXXXXX,id,Ads,loan/gamble
"Vicinia by Shapoorji Pallonji Premium 2,3 amp 3.5 BHK apartment start from 1.68 Cr in Chandivali Powai RERA P51800002564 Call XXXXXXXXXX",gu,Ads,promo
Buy airtime via M_pesa paybill no XXXXXX and put your airtel number as account Number To opt out sms STOP to XXXXX,en,Ads,promo
We love that you trust us which be why we continue to be open at Gran Terraza Lomas Verdes Dont wait Come on Now,es,Ads,promo
Collect referral bonus of up to million of rupiah by invite your friend to play in all Jud1 Online game bit.ly/ahagameindo,id,Ads,promo
Rabobank Your current debit card be outdated and will expire in X day Request the renew debit card now free of charge and prevent blocking of your bank account via http //s.id/Rabobank-Aanvraag,nl,Fraud,credit/debit card
Dear PAYTM User Your PAYTM A C K.Y.C Has Been Expired Call immediately For Verification A c Will Be Blocked Within 24hr PAYTM OFFICE PH XXXXXXXXXX,en,Fraud,account alert
I XX m from Malaysia plan to move my finance to provide for life in Indonesia I XX m look for someone I can trust to maintain the trust if interest in help WA at +60172198279,id,Fraud,financial
JIO WiFi TOWER KO APNI KHALI JAMIN OR CHHAT PR LAGWAYE ADV XX LAKH RENT XXXXX OR X JOB SALIRY XXXXX REG FEES XXXX CONT,hi,Ads,promo
Your ABN AMRO current account have be block for security reason Log in now and verify your ABN AMRO Internet Banking via the website x.co/ ABNUPDATE,nl,Fraud,account alert
You be subscribe to the pre-drink SMS service XXXXX week from PT PMM to STOP type UNREG send to XXXXX CS XXX XXXXXXXX,id,Ads,promo
VOTE Tim Eyman Governor VETO ALL TAX HIKES Saved us 43BN Tim 4Gov.com/ tax PLEDGE to CUT property tax BLOCK income tax WIN XX TABS Text STOP to opt out F GTFO Lose my number I support Jay Inslee the progressive agenda and be against the theft of office furniture,en,Ads,politics/election
"Dear customer congratulation you have product order from SNAPDEAL.COM PVT.LTD out in SNAPDAEL.COM PVT.LTD COMPANY your name to open lucky draw MAHINDRA XUV500 CAR cost RS 14,85,000.00 you have receive two option 1st option MAHINDRA XUV500 CAR 2nd option CASH 14,85,000.00 before registration charge pay to Rs XXXXX only The TR paper charge pay to Rs XXXX Only For more information contact me Mobile help line no XXXXXXXXXXX",en,Fraud,prize
muzammil how be you I always remember you I ... michat.sg/s/2/3pbb,id,Ads,other
Your number be register USER TP By XXXXXXXXXXXX Credit will be deduct 11k every 21st to stop Subscribe to Ktik TP XX XXXXXXXXXXXX Cr m sms D XXX Free,id,Fraud,financial
BNPPARIBAS Your easybanking login expire today Log in to extend your access and avoid blocking bnp-bank-be.com,nl,Fraud,account alert
Your No Registered By Auto TP From No XXXXXXXXXXXX You will send XX thousand credit automatically every 19th U Stop type TP XX XXXXXXXXXXXX Send at XXX,id,Fraud,financial
On XX-XX-XXXX I have MONEY for you PLEASE FOR 1SMS WILL YOU BE HOME TODAY AT 18.00 it XX s only 1sms write YES to XXXXX CONFIRM because the cash will be miss PLN 2.4 re-g.pl,pl,Fraud,financial
I have AN IMPORTANT TRANSACTION for you MAIL me for full detail via EMAIL,en,Fraud,financial
NETFLIX Account suspend we be have problem with your current payment information Update your Billing information http //bit.ly/Netflix Blocked,es,Fraud,account alert
Dear customer Your PATYM KCY have be expire today please call customer care no XXXXXXXXXX immediately your PATYM account block XX hr,en,Fraud,account alert
SAFE You Get CASH CEK RP XXX jt From M_KIOS Top Up Party With PIN Code ijh76k79 U INFO Klik_ www.kejutanmkios-2019.xyz,id,Fraud,prize
Hi ...... i be single girl I 'm look for a good s e x partner you free join my profile and meet now gg.gg/fgbuf,en,Ads,other
Your Bankia account have be block To activate your account you can access safely from http // information client bancco .suryadi.web.id,es,Fraud,account alert
Dear customer You get the 2ND prize from our Weekly Draw on 21/10 Please collect it today before we cancel it http //5ag.us/dkreB,en,Fraud,prize
You have receive 1.3875 ETH Confirm the payment crypto.com/login,en,Fraud,financial
Netflix Informa Update your registration and avoid blocking Go to http // netflixbrasil3.serveftp.com/,pt,Fraud,account alert
X You can Chat Call XXX XX for Read Chat Without Internet amp Get Credit Prizes Please Call XXX XX now,id,Ads,promo
Hey Rahul Ajit Gaitonde like our free Your Money email service Why not share the joy with your love one Click here to refer http //acl.cc/GL3amLO and they will enjoy a FREE subscription too -- all thanks to you T C apply Regards ABSLI The sender be not in your contact list Report All Messages Filtered by SMS Filter,en,Ads,promo
Ing Banco SA from 01/25/2021 You will not be able to use your account You have to activate the new web security system from http //bit.ly/3sOtkMW,es,Fraud,account alert
ENJOY In Oi XX s new digital wallet you get X GB bonus for every RS1 recharge and another XX back in credit Check it out at http //zapconta.co/OiZap,pt,Ads,promo
Rabobank Your current debit card will expire before use Request the renew debit card now completely free of charge and avoid block via www.rabo-wereldpas.net Rabobank,nl,Fraud,credit/debit card
Urgent action require Please verify your credit card detail to receive your refund http // refund online.info Apple Inc,en,Fraud,credit/debit card
"Only Rp 10,000 to win Millions of Rupiah at EyangPoker http //bit.ly/2Fz74BF X Best Tog3L Markets available up to XX discount amp Dingdong Games Poker DominoQQ",id,Ads,gamble
Forwarded KBC Dear customer your bank card will expire in X day Prevent blockage and replace your bank card via http //kbckaart-recyclepunt.com,nl,Fraud,credit/debit card
James The Investor Group want to buy your home from you See what the offer be no obligation http // thepadin10days.site or `` Cancel `` offer,en,Fraud,other
LODHA LAUNCHES CODENAME UNBELIEVABLE X BED AC HOMES WITH SPECTACULAR RIVER VIEWS IN A WORLD CLASS DEVELOPMENT AT THANE Rs.89.1L RERA P51700016375 XXXXXXXXXX,en,Ads,promo
Did the last hail damage your car Simply report your hail damage at http // hail.axa.ch/ Have you already report the damage Wonderful we will get back to you as soon as possible,de,Ads,promo
Apollo Authentic Medicines Home Delivered in X Hrs Use Code PHARMA15 USER XXXX for XX Savings Download Now klr.pw/ 4Rt Hu 6UKUIk to book your first order,en,Ads,promo
be this your number If YES check XXX XX for FREE CHAT and FREE Internet Exchange your POINTS for PULSA 50k or DATA hub XXX XX,id,Ads,promo
Dear customer your STANDARD CHARTERED Visa Card point worth Rs XXXX expire by 14/6/2018 Kindly convert your point in cash by click here Redeem Your Card Point stancharts.com,en,Fraud,credit/debit card
PAYTM Dear paytm customer your KYC have be suspend Paytm office pH XXXXXXXXXX call immediately Your account will block within XX hour Thank you paytm team,en,Fraud,account alert
We need you to confirm your data by PSD2 law your account will be disabled otherwise http //cutt.ly/PSDLEY,es,Fraud,account alert
We have attempt to deliver your 6Q01929938 package Follow the instruction here http //oxesuc.com/p8Uh-Qv,fr,Fraud,delivery
We extend until 14:00 XX DISCOUNT if you come before 2:00 p.m. XX rest day FRIDAY SATURDAY SUNDAY BLACK FRIDAY at VISION LAB goo.gl/yP3F3v BAJA at XXXXXXXXX,es,Ads,promo
Dear BMOMontréal client your online access have be suspend for your safety Please verify your log in to resume usage http // www 13bmo-sort46.com/4,en,Fraud,account alert
I be able to deliver my luggage but I take it home because I be absent Please check šuo http //tqlcuzgzbr.duckdns.org,ja,Fraud,delivery
DiDi Hey Ronny this June be DiDi 's first birthday in Melbourne Use code GIFT50 to claim your XX off reward T Cs apply,en,Ads,promo
Hi Ref ID XX XX Dxxx62 You be select for Business Loan of uto Rs.86945 Click the link to check your LoanAmount http //bit.ly/340XMJV,en,Ads,loan/gamble
"CUCI WAREHOUSE DAILY PHONE Selling SAMSUNG OPPO VIVO XIOMI LAPTOP.IPHONE product with HP price 760,000 LAPTOP 1,100,000 INTEREST CHAT WA XXXXXXXXXXXX",id,Ads,promo
Muhammad Rikuti IDCampX Dicoding LIVE on Wednesday 30/9 at 19:00 WIB with the theme Scrum Introduction Register dicoding.com/events/3413,id,Ads,promo
IPhone X Plus Space Grey have be find and temporarily online View location http //signin-icloud.com/ id 04b8e,en,Fraud,other
Dear Client Your A.T.M card have be BLOCKED Because You Not Update your Emirates ID If You Want To Keep Using Your ATM card Please Call Our Number XXXXXXXXXX,en,Fraud,credit/debit card
BP iPaytm HT Media have request payment of Rs 899.00 Purpose HT For X Year XXXXXXXXXX Click http // paytm.me/1i7-iV5 to pay Regards Team Paytm Save yourself from fraud NEVER set a password suggest by anyone Reset password link http //ap.p-y.tm/8h7BFP Do not forward this to anyone,en,Fraud,financial
Text Message Wed X Dec 5:40 PM Dear Customer your Kotak Mahindra Bank A C will be Suspended please Update your KYC immediately XX mint 's Click Here Link http // 36067b7984e9.ngrok.io KOTAK BANK,en,Fraud,account alert
La Banque Postale Update your account here ww w.labanquepostale.fr.u54 9202rxa.ha003.t.justns.ru/ index2.html,fr,Fraud,account alert
Montepio24 Your username and Pin have be disable Activate access www.bit.ly/ 2INM5e9,pt,Fraud,account alert
Hi Boris Joseph Redeem your XXX Peter England loyalty point expire in next XX day on XX May XXXX Your current point as on today be XXX T C,en,Ads,promo
Your Acleda bank account verification be invalid please enter the correct login ID again www.acledvo.com,en,Fraud,account alert
I XX m a rented mother if I still want to continue to pay with Mr. ISMAIL because it have be sell transfer to Mr. ISMAIL No.Hp.082292996347,id,Ads,other
When elect United Australia Party will ban unsolicited political text message which Labor Liberal have allow Auth http // www.unitedoz.net/,en,Ads,politics/election
CJIB Your outstanding debt of EUR € 42.00 with reference CJIB6294KM93 have not be pay after several reminder On April XX XXXX the bailiff will proceed with a prejudgment attachment Click here for your perusal http //s.id/fout,nl,Fraud,financial
✓ Director View and Single Take Camera Features ✓ 120Hz Display All Day Battery With the Samsung Galaxy S21 you get the late tech and endless camera possibility Discover the new flagship of Samsung www.ziggo.nl/act/ deal 8af174bb5b9 Unsubscribe for info by text message Go to ziggo.nl/act/10/afmel,nl,Ads,promo
lazada official lottery congratulation you officially get a cash check prize of RP XXX JT with code id 2b4f55r for more info click bit.ly/undian-official427,id,Fraud,prize
Dear customer your SBI A C have be Suspended please update your KYC Click here link submit your detail http // f3c87efbe00f.ngrok.io/ sbibank,en,Fraud,account alert
"AWESOME OFFER ENDING SOON Win HONDA BRIO amp IDR 5,000,000 Visit bit.ly/smsp 10im3 Free X day ago Rp1,000/day CS bit.ly/smsccim3",id,Ads,promo
banner Di4m silently send And a photo on MiChat click and view chat-v.com/s/4xc7xp,id,Ads,other
Dear user your bank card have be block Because you have not update yet if you want to keep use your ATM card please call this number03350870421 Sent via Lantech Soft,en,Fraud,credit/debit card
If you do not replace your Rabobank card it will be block You can order a new card via the Rabobank website X.co/nlrabo,nl,Fraud,credit/debit card
4s4ya Sudh bktikAn 4pp in1 ksih pNjm4n dlm 3mNT Cba UnDH dN p5ang bit.ly/Limit1Jt pinjman lain bit.ly/1JutaCairJam atau bit.ly/Pilihan Pinjma,ms,Ads,other
Club Mahindra Holidays Invite You Family Our Venue Regenta Resort GMDC House Opp Hill Garden Bhuj Mirjapar Highway Kutch Bhuj Gujarat XXXXXX Date 27th November Once You Reach Call On XXXXXXXXXX Your Entry Code CM HS,en,Fraud,other
Your holiday pay have be recalculate Confirm the amount you should still receive via information-refund.info,nl,Fraud,financial
Confirm your Pc Optimum online account to keep earn daily reward on your account See 1pcoptimumOnline.com XXXXX,en,Fraud,account alert
Only 6hrs to TV Mania Get 1k off on order above 5k from Midnight tonight for only 1HR Use code TVMA0e20ee Discover http // bit.ly/2rUOutJ STOP20465,en,Ads,promo
Aaj nahi kiya to Kal Pareshan Karega Khatarnak hai Motapa Jaanleva hai Motapa Motape se XXX Chhutkara Paaye Warna Paise Wapis Paaye sms MOTAPA to XXXXXXXXXX,hi,Ads,other
Afternoon Sinta want to offer an express loan with a vehicle certificate as collateral Money can be receive in X hour without need to be survey at home amp the environment Fast amp easy process,id,Ads,loan/gamble
Suspicious Activity http //bit.ly/ 2PNİBhC Fifth Third Bank Locked Access,en,Fraud,account alert
Thalys Click on the link to receive your MobileTicket from 05/14/2018 at 07:25 Ref UABABK,fr,Ads,other
Dear customer Alert notification on weekly current account balance we invite you to log in to your Carige account on our website www.carigegr.it,it,Fraud,account alert
ING From 05/2020 it be no long possible to pay with TAN You must re activate Mobile Confirmation asap Click here http //tan-ing.nl/id197,nl,Fraud,account alert
The account may be suspend Click for detail http // security manager -westpac.com/cgi X min via Vodafone AU,en,Fraud,account alert
Your bank account have be suspend Please verify your identity and follow the instruction nab verification.org/ XXXXXXXXXXX,en,Fraud,account alert
"CONGRATULATIONS You .are.lucky.winner.in my Flippkart.COMPANY.PV T.LTD Your prize TATA SAFARI four wheeler.luxury car price 12,80,000 XX My office address -FLAT NO XXX X a second floor Arjun Nagar Green.park NEW.DE LHI XXXXXX HELP LINE No XXXXXXXXXXX Lucky Cupan no XXXXX CONTACT XXXXXXXXXX",en,Fraud,prize
EE We be unable to process your late bill In order to avoid fee please update your payment information via http //ee.uk.bill313.com/ ee=2,en,Fraud,account alert
LAST MESSAGE Congratulations you get a Rp.125 million cash check from the Shopee 9.9 SUPER SHOPPING DAY Sweepstakes Pin Code AAQ2099 For Info Click bit.ly/shopeeid99,id,Fraud,prize
Cash Instalment Your application have be approve The amount be XXXXXX rupee Please withdraw fund within XX hour Link http //cutt.ly/LhoEiU1,en,Fraud,financial
Dear Customer Please note that at this moment we have to refund you £ 280.40 tax for the last X year Please visit http // hmrc-online-refund.com/,en,Fraud,financial
Your Mijn ING have be place in the quarantine zone and need to be verify again Avoid blocking and follow the step on my-ing.me,nl,Fraud,account alert
Our B'day After Party begin now XX-XX OFF Extra Rs XXX Off on everything Code BDAY150 T C apply Shop now https //hopscotch.app.link/ ahNmHADW6Q,en,Ads,promo
We From KSP Utama Karya Offer Loans Terms of KK ID card saving book Flat interest X THN Min 5JT to 500JT U Info Click the link http //wa.me/6282398111599,id,Ads,loan/gamble
PAYTM WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH XXXXXXXXXX,en,Fraud,account alert
OFFICIAL MESSAGE from PT MKIOS DRAWING party refill your no get a GIFT Rp XX million pin 5n939f7 for verification info click www.kejutanmkios277.blogspot com,id,Fraud,prize
UPTO Rs X LAKH OFF On Popular Used Cars India 's Biggest Car Mela DROOM XX-XX Sept Hurry Buy Now http //goo.gl/N8uSjc Call Free -XXXX XXX XXXXXX,en,Ads,promo
HIGHEST DISCOUNTS EVER live on 1mg FLAT XX off on medicine Upto XX Rs XXX off on health product more Sale end on 15th March Buy rml.lu/cYgPsp,en,Ads,promo
Jio have Announced today to give 25GB data with free call daily for X Months Register to activate offer Link http //tiny.cc/JIO,en,Fraud,other
Your package have reach our sort center pay the outstanding shipping cost s.id/Shipping-Bpost,nl,Fraud,delivery
Congratulations Your exist wallet will be migrate to New Paytm Wallet on XX-XX-XXXX Visit http //p-y.tm/PP bb84 to know more,en,Fraud,account alert
ABN AMRO Your ABN AMRO debit card will soon expire Request your debit card completely free of charge via your own secure link tiny.cc/abnpas,nl,Fraud,credit/debit card
FedEx Your shipment be come track it here http // blog.envision agency fedex wqld66qxt,es,Fraud,delivery
RMO Your Maybank account have be suspend Click here for re verify your data,en,Fraud,account alert
DVLA We have identify that you have an outstanding vehicle tax refund from an overpayment Please visit http //dvla.refund-form-ref60.com/ to process,en,Fraud,tax refund
We inform you that you have receive an important document for this reason a moment of attention be require Access your online account on the site www.bliber.es,es,Fraud,account alert
Royal Mail Sorry we be unable to deliver your parcel today please reschedule your delivery via http //royal-deliverys.com,en,Fraud,delivery
Buy X FREE X All Kinds of Drinks Today Only Exchange this sms immediately at Excelso HR Muhammad.SKB.Promo XXX,id,Ads,promo
Dear SBI Customer Your SBI Account Will Be Block on 12/01/2020 Due To XX Incomplete KYC in your Bank Account Kindly please Update your full KYC in your Bank Account Through Internet Banking immediately kindly please visit the link below http //docs.google.com/forms d e 1FAIpQLSCR U KEHTmQ gpHoTx MgKIThXlbgV5LGSVFTTKS8ESYTJYRA viewform THANK YOU SBI,en,Fraud,account alert
HSBC Your request to add payee MRS R AMHEED on 30/12/20 have be receive If this be NOT you please review urgently http //hsbc.digital -payee-report.com/,en,Fraud,account alert
We have recalculate your vehicle tax You be owe £ 137.24 due to overpayment Check here to claim your refund http //dvla-re.com,en,Fraud,tax refund
"Dear Rishi Raj Chouhan the Incometax_Department require you to click the link below to submit a formal request for the payment of your unclaimed and overdue tax refund of 18,750 INR http //103.228.117.98/Refund",en,Fraud,tax refund
Ameli Account After the last verification of your health insurance record we have determine that you will receive a refund of 503.99 euro Please complete your refund form and confirm it via the link below http // bit.ly/2R29XHE,fr,Fraud,financial
You be due to receive an ATO refund of 1786.51 Visit http //ato.gov.au txreturn.info/ And complete security check to claim refund,en,Fraud,tax refund
Need Financing Business Capital Use vehicle registration No check BI PUTRI XXXXXXXXXXXX http //bit.ly/2f4j6qf,id,Ads,loan/gamble
PAYTM Dear Customer Your Paytm Kyc Has Been Expire Please Contact Customer care No XXXXXXXXXX Immediately Your Paytm Account Will Be Blocked Within 24hrs,en,Fraud,account alert
Call XXXXX XXXXXX quote BWTY0803 to activate your e voucher get £ XXX- £ XXXX towards your next new use Toyota at Bentleys ACT NOW limited number,en,Ads,promo
